Date,CashPool,SharesValue,EquityOpen,EquityHigh,EquityLow,EquityClose,EquityPct,EquityGrowth,Drawdown,DrawdownPct,EquityPeak,EquityTrough,DailyStrategyReturn,CumulativeStrategyReturn,WeeklyStrategyReturn,MonthlyStrategyReturn,ComparisonIndexValue,ComparisonIndexPct,StrategyRisk,StrategyRiskPct,NumPositions,SharesPct,CashPct
2013-04-08,1247.1402498093926,19120.18086,20448.50331980939,20520.16331980939,20167.700449809392,20367.321109809393,1.8366055490469626,1.0183660554904697,-634.4036500000002,-2.998896885506498,21154.56696980939,19902.532939809393,-0.003607046087751864,0.018366055490469657,-0.009702281513984112,0.0024961253946196305,46.33,5.439235320892127,2793.0732499740107,13.713503287522673,6,93.87675854332782,6.123241456672178
2013-04-09,1247.1402498093926,19316.802,20370.731109809392,20644.591859809392,20234.649999809393,20563.94224980939,2.819711249046959,1.0281971124904696,-509.9751099999994,-2.4107092843252578,21154.56696980939,19902.532939809393,0.009653755589158042,0.028197112490469634,-0.000615585398717533,0.0015322532863288885,47,6.964041875284484,2719.34142997401,13.223833236544008,6,93.93530562058959,6.064694379410409
2013-04-10,1247.1402498093926,19290.876050000003,20398.31775980939,20664.299629809393,20200.71703980939,20538.016299809395,2.6900814990469737,1.0269008149904697,-490.2673399999985,-2.317548455138224,21154.56696980939,19902.532939809393,-0.001260748045537663,0.0269008149904697,-0.003963729932070836,-0.006868303328256942,46.87,6.668183887118798,2915.9625699740113,14.197878351090184,6,93.92764991709075,6.072350082909257
2013-04-11,1247.1402498093926,19559.04082,20707.390689809392,20981.627339809394,20591.71068980939,20806.18106980939,4.030905349046952,1.0403090534904695,-172.93962999999712,-0.8175049399347519,21154.56696980939,19902.532939809393,0.013056994701210911,0.04030905349046954,0.01927236555438938,0.016282897718276068,47.26,7.555757851615841,2890.036619974011,13.89027909676116,6,94.00591465764448,5.994085342355515
2013-04-12,1247.1402498093926,19614.371199999998,20829.041459809396,21072.333279809394,20693.93145980939,20861.51144980939,4.307557249046949,1.0430755724904694,-82.2336899999973,-0.38872783412374545,21154.56696980939,19902.532939809393,0.0026593241601788886,0.04307557249046945,0.020569318099403766,0.03206190274786258,47.35,7.760582612653627,3158.20138997401,15.138890571626662,6,94.02181259584243,5.978187404157563
2013-04-15,1247.1402498093926,19411.235279999997,20799.092519809394,20876.53889980939,20463.84514980939,20658.37552980939,3.291877649046946,1.0329187764904695,-278.0280700000003,-1.3142697290697858,21154.56696980939,19902.532939809393,-0.009737353905958535,0.03291877649046948,0.01429026519642873,0.006220650525557092,46.92,6.781975421028685,3213.531769974011,15.555587927700246,6,93.96302846751038,6.036971532489611
2013-04-16,1247.1402498093926,19388.51751,20542.101769809393,20836.267759809394,20445.27926980939,20635.657759809394,3.178288799046968,1.0317828879904696,-318.2992099999974,-1.5046359041726363,21154.56696980939,19902.532939809393,-0.0010996881128051417,0.03178288799046958,0.0034874397685427105,0.009983077931636997,46.74,6.372325898953128,3010.395849974011,14.588320299812036,6,93.9563823730477,6.043617626952309
2013-04-17,1247.1402498093926,19670.4075,20798.94224980939,21083.699959809393,20648.74630980939,20917.547749809393,4.5877387490469665,1.0458773874904697,-70.86700999999812,-0.3349962686597912,21154.56696980939,19902.532939809393,0.013660334615018588,0.04587738749046966,0.018479459966322054,0.030952743916069503,47.22,7.464724624487941,2987.6780799740104,14.28311824937144,6,94.03782764248378,5.9621723575162235
2013-04-18,1247.1402498093926,19522.87641,20883.316259809395,21066.13963980939,20689.05554980939,20770.016659809393,3.8500832990469642,1.0385008329904697,-88.42733000000226,-0.4180058619313776,21154.56696980939,19902.532939809393,-0.007052982106917627,0.03850083299046969,-0.0017381570350972764,0.0038383873439395977,46.49,5.803368229403742,3269.568069974011,15.741769125783724,6,93.99547785523616,6.0045221447638335
2013-04-19,1247.1402498093926,19401.15825,20806.01665980939,20982.08775980939,20540.55516980939,20648.298499809393,3.241492499046963,1.0324149249904697,-172.47921000000133,-0.8153284831883061,21154.56696980939,19902.532939809393,-0.005860282251748394,0.03241492499046972,-0.010220398004860076,-0.01615813260722465,46.56,5.962676376877571,3122.0369799740106,15.12006899746645,6,93.96008223234034,6.03991776765967
